opentime,open,high,low,close,volume_U,value,signal,position,entry_price,stop_loss,stop_profit,stop_price,unrealized_pnl,realized_pnl,commission
2024-02-03 16:00:00,43097.5,43134.7,43081.7,43081.7,19881293.4094,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:05:00,43081.8,43141.0,43077.9,43138.1,19985118.3935,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:10:00,43138.0,43149.0,43124.2,43143.1,16082555.9726,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:15:00,43143.1,43175.0,43133.1,43156.3,32909848.0157,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:20:00,43156.4,43156.4,43126.0,43130.9,12592497.9655,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:25:00,43130.6,43137.0,43107.6,43112.4,8715410.0898,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:30:00,43112.3,43142.0,43106.8,43119.5,9592709.4886,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:35:00,43119.5,43119.5,43070.8,43087.9,13452078.6827,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:40:00,43088.0,43089.6,43060.0,43075.7,11950857.0677,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:45:00,43075.6,43075.6,43053.6,43067.6,8952018.3577,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:50:00,43067.6,43096.1,43059.8,43081.4,8311363.682,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 16:55:00,43081.4,43106.5,43074.3,43074.4,8507393.2363,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:00:00,43074.3,43103.4,43072.1,43092.0,5994884.0439,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:05:00,43091.9,43132.5,43091.9,43128.6,8292373.0438,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:10:00,43128.7,43128.7,43112.0,43112.0,6528416.4398,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:15:00,43112.0,43114.9,43095.5,43097.8,6507747.8918,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:20:00,43097.8,43104.7,43081.7,43087.4,5769649.0937,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:25:00,43087.5,43096.7,43080.0,43084.3,3531838.0289,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:30:00,43084.4,43120.0,43074.3,43095.8,10398154.8003,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:35:00,43096.1,43117.0,43096.1,43111.1,5446298.4116,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:40:00,43111.0,43188.0,43111.0,43176.9,42448417.5079,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:45:00,43177.0,43260.9,43170.0,43246.4,109386560.7122,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:50:00,43246.4,43264.3,43225.6,43244.1,38629012.0768,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 17:55:00,43244.1,43252.9,43197.0,43215.9,29398690.3106,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:00:00,43215.9,43220.0,43171.0,43207.8,21922968.2708,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:05:00,43207.8,43232.0,43194.8,43220.1,15838881.5065,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:10:00,43220.1,43220.1,43179.0,43210.0,23528264.2887,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:15:00,43210.1,43215.3,43132.6,43149.9,38767486.5307,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:20:00,43150.0,43183.3,43146.3,43183.2,13352444.7886,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:25:00,43183.2,43196.4,43183.1,43195.8,5492800.4241,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:30:00,43195.8,43195.8,43067.1,43102.5,64604880.0626,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:35:00,43102.5,43104.3,43061.0,43068.7,15116087.9537,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:40:00,43068.7,43072.4,43013.1,43028.0,46127812.42696,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:45:00,43028.0,43074.5,43012.5,43061.9,24269339.3611,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:50:00,43062.0,43095.1,43041.1,43061.8,24205274.9873,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 18:55:00,43061.9,43066.9,43038.5,43055.1,5478834.3801,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:00:00,43055.1,43073.0,43010.4,43035.0,31295006.0883,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:05:00,43035.0,43068.3,43025.0,43058.6,9080722.7844,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:10:00,43058.6,43058.7,43045.0,43045.1,3993039.5458,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:15:00,43045.0,43071.4,43035.1,43059.0,7265264.5338,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:20:00,43059.0,43059.1,43029.0,43046.9,8446960.6603,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:25:00,43046.9,43048.5,43033.9,43036.9,3688934.7834,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:30:00,43036.8,43042.2,43020.1,43038.1,7620235.0392,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03 19:35:00,43038.1,43039.3,43015.4,43015.4,8455777.5143,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
